Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
3.15,-0.6169367459843199,1.7115522544862787,-8.653880925439477
3.175,-0.6064420179481301,1.6464504982383696,-7.991771943716832
3.2,-0.21935979758853072,1.6199767532635145,-7.279425454694383
3.225,0.32058247194365747,1.6134333072961904,-6.5532381491676714
3.25,0.7467642220813671,1.5847488851524547,-5.78425491219388
3.275,1.0246192957223763,1.5249624282662493,-4.996483343080526
3.3,1.2104942596354866,1.4256402248623037,-4.247320206429041
3.325,1.350885976980508,1.2743188047385536,-3.575031761925965
3.35,1.4823934014306424,1.0722274591498087,-2.9817835723428985
3.375,1.6370791245567735,0.8399143898427126,-2.458946836196718
3.4,1.8219376122496314,0.6076794361336944,-2.0044919945161475
3.425,2.0024072898890646,0.3948739744705894,-1.6083225628632245
3.45,2.1090776972517595,0.20779453312341312,-1.2728669257410226
3.475,2.0930922582511267,0.053230160702023625,-1.0319275775748176
3.5,1.9672564800464314,-0.09105001435737475,-0.8926821972028081
3.525,1.7888829083465156,-0.2572076577926118,-0.831245235431323
3.55,1.6330305182293976,-0.4627211689739004,-0.8097983156969487
3.575,1.5781966303386756,-0.6989320094451872,-0.800607426918573
3.6,1.5745830059060864,-0.950549856587996,-0.7674404801290493
3.625,1.5114461096681608,-1.1951287369298889,-0.7072890302600957
3.65,1.366663656393557,-1.4289010241609028,-0.684967356736268
3.675,1.165586788575407,-1.7054972212137105,-0.7321810434776604
3.7,0.9121507371854465,-2.08696430817649,-0.8332850447757842
3.725,0.6303241549387896,-2.560109734590684,-0.9903274902608212
3.75,0.34861166180335423,-3.015872505280756,-1.206064708475584
3.775,0.08116250331248508,-3.337827365931553,-1.4801425025584998
3.8,-0.13097929416794465,-3.4874958195516546,-1.8098538476416688
3.825,-0.21545979742437205,-3.5052492297712865,-2.208100617710731
3.85,-0.10426192708039253,-3.4527148523517055,-2.691032874762852
3.875,0.20967329317980088,-3.368518401978812,-3.2508844412543128
3.9,0.6548098871378729,-3.2611131567035043,-3.8472532084192377
3.925,1.1195750417081423,-3.118141218691943,-4.420760238326719
3.95,1.540179896933977,-2.9289778074878687,-4.925399334791373
3.975,1.93466747931723,-2.7059568510500607,-5.339813776015644
4.0,2.328439412925496,-2.4727832309076168,-5.6619789062940455
4.025,2.7181581716296273,-2.2330855896976334,-5.922325288512305
4.05,3.0849816360052666,-1.9883507328793955,-6.1640231493397035
4.075,3.4139546018048845,-1.744796892638891,-6.405450238284739
4.1,3.6938302605668474,-1.507000088878916,-6.645681726843525
4.125,3.911278300836775,-1.2844986338680913,-6.87702127251067
4.15,4.057937739246114,-1.0851512053768755,-7.0815423172812615
4.175,4.126321497250954,-0.9110092498331024,-7.245224236035915
4.2,4.118113849782227,-0.7498959773169509,-7.3754786056459
4.225,4.052757111459774,-0.5823133080313289,-7.4890927924218955
4.25,3.961862104657197,-0.401048914734289,-7.615748571342095
4.275,3.832638080507646,-0.2048686503667099,-7.791608388320741
4.3,3.6420773264767927,0.007197377264382772,-8.012710496861391
4.325,3.3829825868447085,0.24225424890093025,-8.261837718729286
4.35,3.0362658455280664,0.5141217993327464,-8.542878297462057
4.375,2.582393684120837,0.8254320804252032,-8.833899986628342
4.4,2.083039341164933,1.1676219172414168,-9.066786928605564
4.425,1.628077342481216,1.509122157677293,-9.182752989389382
4.45,1.2704919311560348,1.78471440504378,-9.15973952970667
4.475,0.9675484259941718,1.9105646638872,-8.975388938720116
4.5,0.6380887139433034,1.8512677834178388,-8.584352010116442
4.525,0.31104934342822355,1.668996492591381,-7.99287829385803
4.55,0.16463961718569395,1.4650662269665122,-7.2781132603293175
4.575,0.3046792632978943,1.292502926989398,-6.522047193469094
4.6,0.6001041033318322,1.1352910527073758,-5.74937417222955
4.625,0.8740126456633044,0.9637589155503169,-4.959279093601231
4.65,1.0817653475026705,0.7713341595312702,-4.194217632752935
4.675,1.2428354614666568,0.559245434596732,-3.522053391708325
4.7,1.3669513002665623,0.34779621134216987,-2.9613448273154237
4.725,1.4509023185159888,0.15438295436491267,-2.500978573459326
4.75,1.508584095424504,-0.026249709052293235,-2.1381383538687255
4.775,1.5682344816757574,-0.1913710919140969,-1.8789523297848212
4.8,1.6288037541278728,-0.33642590477768486,-1.7152374024092543
4.825,1.6722215079637055,-0.470369097269279,-1.6219301863243407
4.85,1.686527657106557,-0.5950585403255142,-1.60010143512685
4.875,1.6424557324341402,-0.7060522123385156,-1.6748452105207836
4.9,1.5054494500427644,-0.815687047047484,-1.8195785104411282
4.925,1.262836675808259,-0.9514297957429199,-1.9657901618129345
4.95,0.9566145931303838,-1.12006430306815,-2.0759384517579207
4.975,0.6556431433982103,-1.29497636763904,-2.1536156429861606
5.0,0.3736935737611645,-1.4595676166106433,-2.2057225440776556
5.025,0.06228899672919691,-1.6006635636395883,-2.2772960914015807
5.05,-0.3147965282812981,-1.7207761126840588,-2.4232947279720882
5.075,-0.7213969466752604,-1.8593322446274356,-2.6840983751385745
5.1,-1.0857550168077599,-2.0680284725828,-3.078515065805417
5.125,-1.4176583850379358,-2.369935867685162,-3.5666155260792256
5.15,-1.6921923989129755,-2.722278508098431,-4.104751150678642
5.175,-1.8825055129901953,-3.0607517102507793,-4.633091081461852
